ate,open,high,low,close,volume,barCount,average
2022-01-31 15:48:00,21.455,21.515,21.455,21.5,-1,-1,-1.0
2022-01-31 15:49:00,21.5,21.585,21.5,21.565,-1,-1,-1.0
2022-01-31 15:50:00,21.565,21.575,21.51,21.565,-1,-1,-1.0
2022-01-31 15:51:00,21.565,21.575,21.555,21.56,-1,-1,-1.0
2022-01-31 15:52:00,21.56,21.57,21.555,21.56,-1,-1,-1.0
2022-01-31 15:53:00,21.56,21.565,21.56,21.56,-1,-1,-1.0
2022-01-31 15:54:00,21.56,21.565,21.525,21.535,-1,-1,-1.0
2022-01-31 15:55:00,21.535,21.535,21.49,21.52,-1,-1,-1.0
2022-01-31 15:56:00,21.52,21.575,21.5,21.5,-1,-1,-1.0
2022-01-31 15:57:00,21.5,21.525,21.49,21.515,-1,-1,-1.0
2022-01-31 15:58:00,21.515,21.515,21.425,21.435,-1,-1,-1.0
2022-01-31 15:59:00,21.435,21.525,21.41,21.475,-1,-1,-1.0
2022-01-31 16:00:00,21.475,21.49,21.475,21.48,-1,-1,-1.0
2022-01-31 16:01:00,21.48,21.485,21.48,21.485,-1,-1,-1.0
2022-01-31 16:02:00,21.485,21.495,21.475,21.475,-1,-1,-1.0
2022-01-31 16:03:00,21.475,21.52,21.475,21.51,-1,-1,-1.0
2022-01-31 16:04:00,21.51,21.535,21.505,21.535,-1,-1,-1.0
2022-01-31 16:05:00,21.535,21.57,21.53,21.545,-1,-1,-1.0
2022-01-31 16:06:00,21.545,21.635,21.545,21.61,-1,-1,-1.0
2022-01-31 16:07:00,21.61,21.675,21.605,21.655,-1,-1,-1.0
2022-01-31 16:08:00,21.655,21.655,21.57,21.61,-1,-1,-1.0
2022-01-31 16:09:00,21.61,21.615,21.56,21.575,-1,-1,-1.0
2022-01-31 16:10:00,21.575,21.585,21.57,21.585,-1,-1,-1.0
2022-01-31 16:11:00,21.585,21.625,21.585,21.605,-1,-1,-1.0
2022-01-31 16:12:00,21.605,21.615,21.57,21.57,-1,-1,-1.0
2022-01-31 16:13:00,21.57,21.585,21.48,21.485,-1,-1,-1.0
2022-01-31 16:14:00,21.485,21.495,21.43,21.47,-1,-1,-1.0
2022-01-31 16:15:00,21.47,21.51,21.47,21.49,-1,-1,-1.0
2022-01-31 16:16:00,21.49,21.545,21.49,21.53,-1,-1,-1.0
2022-01-31 16:17:00,21.53,21.57,21.53,21.57,-1,-1,-1.0
2022-01-31 16:18:00,21.57,21.595,21.565,21.58,-1,-1,-1.0
2022-01-31 16:19:00,21.58,21.58,21.515,21.55,-1,-1,-1.0
