date,open,high,low,close,volume,barCount,average
2022-01-28 23:06:00,849.255,849.255,848.705,849.205,-1,-1,-1.0
2022-01-28 23:07:00,849.205,849.21,848.495,848.675,-1,-1,-1.0
2022-01-28 23:08:00,848.675,848.81,846.955,848.45,-1,-1,-1.0
2022-01-28 23:09:00,848.45,848.45,848.015,848.385,-1,-1,-1.0
2022-01-28 23:10:00,848.385,848.39,847.405,847.465,-1,-1,-1.0
2022-01-28 23:11:00,847.465,847.595,847.25,847.375,-1,-1,-1.0
2022-01-28 23:12:00,847.375,847.645,846.64,846.675,-1,-1,-1.0
2022-01-28 23:13:00,846.675,846.71,845.335,845.335,-1,-1,-1.0
2022-01-28 23:14:00,845.335,846.06,845.2,845.25,-1,-1,-1.0
2022-01-28 23:15:00,845.25,846.245,843.495,844.075,-1,-1,-1.0
2022-01-28 23:16:00,844.075,845.495,843.98,845.495,-1,-1,-1.0
2022-01-28 23:17:00,845.495,845.6,845.145,845.545,-1,-1,-1.0
2022-01-28 23:18:00,845.545,845.57,845.3,845.32,-1,-1,-1.0
2022-01-28 23:19:00,845.32,846.19,845.25,846.075,-1,-1,-1.0
2022-01-28 23:20:00,846.075,846.61,845.82,846.22,-1,-1,-1.0
2022-01-28 23:21:00,846.22,846.655,846.215,846.375,-1,-1,-1.0
2022-01-28 23:22:00,846.375,846.605,846.305,846.605,-1,-1,-1.0
2022-01-28 23:23:00,846.605,846.605,846.045,846.175,-1,-1,-1.0
2022-01-28 23:24:00,846.175,846.55,846.175,846.545,-1,-1,-1.0
2022-01-28 23:25:00,846.545,846.62,846.245,846.46,-1,-1,-1.0
2022-01-28 23:26:00,846.46,846.52,846.005,846.38,-1,-1,-1.0
2022-01-28 23:27:00,846.38,846.39,846.2,846.35,-1,-1,-1.0
2022-01-28 23:28:00,846.35,846.67,846.35,846.63,-1,-1,-1.0
2022-01-28 23:29:00,846.63,846.63,846.28,846.525,-1,-1,-1.0
2022-01-28 23:30:00,846.525,846.525,846.235,846.345,-1,-1,-1.0
2022-01-28 23:31:00,846.345,846.45,846.28,846.45,-1,-1,-1.0
2022-01-28 23:32:00,846.45,846.455,846.3,846.45,-1,-1,-1.0
2022-01-28 23:33:00,846.45,846.45,846.13,846.3,-1,-1,-1.0
2022-01-28 23:34:00,846.3,846.3,846.15,846.175,-1,-1,-1.0
2022-01-28 23:35:00,846.175,846.305,846.175,846.175,-1,-1,-1.0
2022-01-28 23:36:00,846.175,846.325,846.175,846.325,-1,-1,-1.0
2022-01-28 23:37:00,846.325,846.425,846.065,846.425,-1,-1,-1.0
2022-01-28 23:38:00,846.425,846.525,846.425,846.5,-1,-1,-1.0
2022-01-28 23:39:00,846.5,846.7,846.5,846.7,-1,-1,-1.0
2022-01-28 23:40:00,846.7,847.35,846.58,847.29,-1,-1,-1.0
2022-01-28 23:41:00,847.29,847.535,847.285,847.535,-1,-1,-1.0
2022-01-28 23:42:00,847.535,847.7,847.535,847.55,-1,-1,-1.0
2022-01-28 23:43:00,847.55,847.645,847.245,847.245,-1,-1,-1.0
2022-01-28 23:44:00,847.245,847.645,847.12,847.645,-1,-1,-1.0
2022-01-28 23:45:00,847.645,847.72,847.575,847.72,-1,-1,-1.0
2022-01-28 23:46:00,847.72,847.875,847.72,847.78,-1,-1,-1.0
2022-01-28 23:47:00,847.78,847.945,847.72,847.945,-1,-1,-1.0
2022-01-28 23:48:00,847.945,848.25,847.945,848.22,-1,-1,-1.0
2022-01-28 23:49:00,848.22,848.265,848.165,848.215,-1,-1,-1.0
2022-01-28 23:50:00,848.215,848.35,848.105,848.205,-1,-1,-1.0
2022-01-28 23:51:00,848.205,848.205,847.815,847.95,-1,-1,-1.0
2022-01-28 23:52:00,847.95,848.15,847.9,848.1,-1,-1,-1.0
2022-01-28 23:53:00,848.1,848.2,848.05,848.05,-1,-1,-1.0
2022-01-28 23:54:00,848.05,848.155,848.05,848.105,-1,-1,-1.0
2022-01-28 23:55:00,848.105,848.12,848.1,848.115,-1,-1,-1.0
2022-01-28 23:56:00,848.115,848.465,848.115,848.235,-1,-1,-1.0
2022-01-28 23:57:00,848.235,848.27,848.205,848.205,-1,-1,-1.0
2022-01-28 23:58:00,848.205,848.205,848.075,848.2,-1,-1,-1.0
2022-01-28 23:59:00,848.2,848.2,847.775,848.03,-1,-1,-1.0
2022-01-29 00:00:00,848.03,848.03,847.825,847.825,-1,-1,-1.0
2022-01-29 00:01:00,847.825,847.825,847.655,847.655,-1,-1,-1.0
2022-01-29 00:02:00,847.655,847.655,847.275,847.33,-1,-1,-1.0
2022-01-29 00:03:00,847.33,847.7,847.225,847.7,-1,-1,-1.0
2022-01-29 00:04:00,847.7,847.7,847.7,847.7,-1,-1,-1.0
2022-01-29 00:05:00,847.7,847.7,847.28,847.53,-1,-1,-1.0
2022-01-29 00:06:00,847.53,847.585,847.515,847.515,-1,-1,-1.0
2022-01-29 00:07:00,847.515,847.6,847.45,847.5,-1,-1,-1.0
2022-01-29 00:08:00,847.5,847.945,847.5,847.945,-1,-1,-1.0
2022-01-29 00:09:00,847.945,847.945,847.485,847.755,-1,-1,-1.0
2022-01-29 00:10:00,847.755,847.805,847.755,847.775,-1,-1,-1.0
2022-01-29 00:11:00,847.775,848.16,847.775,848.16,-1,-1,-1.0
2022-01-29 00:12:00,848.16,848.26,848.13,848.22,-1,-1,-1.0
2022-01-29 00:13:00,848.22,848.25,848.0,848.0,-1,-1,-1.0
2022-01-29 00:14:00,848.0,848.22,848.0,848.22,-1,-1,-1.0
2022-01-29 00:15:00,848.22,848.25,848.2,848.25,-1,-1,-1.0
2022-01-29 00:16:00,848.25,848.25,848.25,848.25,-1,-1,-1.0
2022-01-29 00:17:00,848.25,848.25,848.1,848.1,-1,-1,-1.0
2022-01-29 00:18:00,848.1,848.15,848.075,848.13,-1,-1,-1.0
2022-01-29 00:19:00,848.13,848.13,848.13,848.13,-1,-1,-1.0
2022-01-29 00:20:00,848.13,848.13,848.025,848.13,-1,-1,-1.0
2022-01-29 00:21:00,848.13,848.13,848.105,848.105,-1,-1,-1.0
2022-01-29 00:22:00,848.105,848.105,848.095,848.1,-1,-1,-1.0
2022-01-29 00:23:00,848.1,848.135,848.05,848.11,-1,-1,-1.0
2022-01-29 00:24:00,848.11,848.115,848.065,848.065,-1,-1,-1.0
2022-01-29 00:25:00,848.065,848.14,847.805,847.805,-1,-1,-1.0
2022-01-29 00:26:00,847.805,847.805,847.1,847.49,-1,-1,-1.0
2022-01-29 00:27:00,847.49,847.69,847.485,847.485,-1,-1,-1.0
2022-01-29 00:28:00,847.485,847.6,847.45,847.595,-1,-1,-1.0
2022-01-29 00:29:00,847.595,847.695,847.585,847.695,-1,-1,-1.0
2022-01-29 00:30:00,847.695,848.125,847.65,848.125,-1,-1,-1.0
2022-01-29 00:31:00,848.125,848.135,848.125,848.135,-1,-1,-1.0
2022-01-29 00:32:00,848.135,848.135,847.885,847.885,-1,-1,-1.0
2022-01-29 00:33:00,847.885,848.125,847.875,848.125,-1,-1,-1.0
2022-01-29 00:34:00,848.125,848.22,848.125,848.22,-1,-1,-1.0
2022-01-29 00:35:00,848.22,848.32,848.215,848.215,-1,-1,-1.0
2022-01-29 00:36:00,848.215,848.22,847.955,847.955,-1,-1,-1.0
2022-01-29 00:37:00,847.955,847.955,847.935,847.95,-1,-1,-1.0
2022-01-29 00:38:00,847.95,848.195,847.95,847.95,-1,-1,-1.0
2022-01-29 00:39:00,847.95,847.995,847.95,847.965,-1,-1,-1.0
2022-01-29 00:40:00,847.965,848.0,847.8,847.96,-1,-1,-1.0
2022-01-29 00:41:00,847.96,848.18,847.955,848.18,-1,-1,-1.0
2022-01-29 00:42:00,848.18,848.265,848.18,848.255,-1,-1,-1.0
2022-01-29 00:43:00,848.255,848.265,848.25,848.26,-1,-1,-1.0
2022-01-29 00:44:00,848.26,848.27,848.26,848.27,-1,-1,-1.0
2022-01-29 00:45:00,848.27,848.275,848.265,848.27,-1,-1,-1.0
2022-01-29 00:46:00,848.27,848.27,848.225,848.225,-1,-1,-1.0
2022-01-29 00:47:00,848.225,848.225,848.225,848.225,-1,-1,-1.0
2022-01-29 00:48:00,848.225,848.8,848.225,848.8,-1,-1,-1.0
2022-01-29 00:49:00,848.8,849.18,848.8,849.17,-1,-1,-1.0
2022-01-29 00:50:00,849.17,849.19,849.17,849.19,-1,-1,-1.0
2022-01-29 00:51:00,849.19,849.19,849.11,849.11,-1,-1,-1.0
2022-01-29 00:52:00,849.11,849.39,849.11,849.39,-1,-1,-1.0
2022-01-29 00:53:00,849.39,849.725,849.225,849.725,-1,-1,-1.0
2022-01-29 00:54:00,849.725,849.77,849.63,849.725,-1,-1,-1.0
2022-01-29 00:55:00,849.725,849.725,849.63,849.665,-1,-1,-1.0
2022-01-29 00:56:00,849.665,849.755,849.66,849.75,-1,-1,-1.0
2022-01-29 00:57:00,849.75,849.86,849.75,849.85,-1,-1,-1.0
2022-01-29 00:58:00,849.85,849.855,849.65,849.745,-1,-1,-1.0
2022-01-29 00:59:00,849.745,849.745,849.555,849.555,-1,-1,-1.0
2022-01-29 01:00:00,849.555,849.715,849.35,849.715,-1,-1,-1.0
2022-01-29 01:01:00,849.715,849.715,849.69,849.715,-1,-1,-1.0
2022-01-29 01:02:00,849.715,849.745,849.665,849.73,-1,-1,-1.0
2022-01-29 01:03:00,849.73,849.75,849.69,849.69,-1,-1,-1.0
2022-01-29 01:04:00,849.69,849.735,849.665,849.665,-1,-1,-1.0
