
ticker=NIO, epochs=12, units=51, prediction_days=46, dense_units=0.2,     ratio=[0.7686405]
ticker=NIO, epochs=16, units=22, prediction_days=58, dense_units=0.2,     ratio=[0.7264297]
ticker=NIO, epochs=28, units=36, prediction_days=22, dense_units=0.2,     ratio=[0.9025388]
ticker=NIO, epochs=19, units=53, prediction_days=29, dense_units=0.2,     ratio=[0.8787303]
ticker=NIO, epochs=27, units=47, prediction_days=30, dense_units=0.2,     ratio=[0.9365942]
ticker=NIO, epochs=15, units=38, prediction_days=40, dense_units=0.2,     ratio=[0.77174664]
ticker=NIO, epochs=30, units=47, prediction_days=30, dense_units=0.2,     ratio=[0.87041456]
ticker=NIO, epochs=15, units=40, prediction_days=60, dense_units=0.2,     ratio=[0.7904612]
ticker=RIOT, epochs=12, units=39, prediction_days=69, dense_units=0.2,     ratio=[0.822107]
ticker=NIO, epochs=22, units=38, prediction_days=34, dense_units=0.2,     ratio=[0.8587111]
ticker=RIOT, epochs=29, units=45, prediction_days=51, dense_units=0.2,     ratio=[0.7685684]
ticker=NIO, epochs=16, units=40, prediction_days=55, dense_units=0.2,     ratio=[0.78453416]
ticker=NIO, epochs=13, units=60, prediction_days=42, dense_units=0.2,     ratio=[0.7937916]
ticker=NIO, epochs=20, units=43, prediction_days=17, dense_units=0.2,     ratio=[0.9249359]
ticker=RIOT, epochs=14, units=52, prediction_days=38, dense_units=0.2,     ratio=[0.8168866]
ticker=NIO, epochs=16, units=56, prediction_days=55, dense_units=0.2,     ratio=[0.81212664]
ticker=NIO, epochs=27, units=48, prediction_days=33, dense_units=0.2,     ratio=[0.836445]
ticker=NIO, epochs=12, units=44, prediction_days=19, dense_units=0.2,     ratio=[0.91540617]
ticker=NIO, epochs=11, units=46, prediction_days=36, dense_units=0.2,     ratio=[0.77536476]
ticker=RIOT, epochs=25, units=46, prediction_days=21, dense_units=0.2,     ratio=[0.9148575]
ticker=NIO, epochs=15, units=27, prediction_days=10, dense_units=0.2,     ratio=[0.87999356]
ticker=NIO, epochs=13, units=47, prediction_days=40, dense_units=0.2,     ratio=[0.85699093]
ticker=NIO, epochs=10, units=25, prediction_days=11, dense_units=0.2,     ratio=[0.86451286]
ticker=RIOT, epochs=30, units=42, prediction_days=38, dense_units=0.2,     ratio=[0.7931188]
ticker=NIO, epochs=22, units=43, prediction_days=41, dense_units=0.2,     ratio=[0.8395536]
ticker=RIOT, epochs=26, units=20, prediction_days=66, dense_units=0.2,     ratio=[0.74360216]
ticker=RIOT, epochs=23, units=50, prediction_days=18, dense_units=0.2,     ratio=[0.912406]
ticker=NIO, epochs=12, units=46, prediction_days=31, dense_units=0.2,     ratio=[0.7719028]
ticker=NIO, epochs=24, units=39, prediction_days=44, dense_units=0.2,     ratio=[0.8001771]
ticker=RIOT, epochs=17, units=35, prediction_days=32, dense_units=0.2,     ratio=[0.8765597]
ticker=NIO, epochs=21, units=37, prediction_days=46, dense_units=0.2,     ratio=[0.8074625]
ticker=RIOT, epochs=27, units=40, prediction_days=55, dense_units=0.2,     ratio=[0.5211694]
ticker=RIOT, epochs=14, units=26, prediction_days=57, dense_units=0.2,     ratio=[0.76644385]
ticker=NIO, epochs=27, units=30, prediction_days=57, dense_units=0.2,     ratio=[0.7809951]
ticker=RIOT, epochs=28, units=52, prediction_days=49, dense_units=0.2,     ratio=[0.77811396]
ticker=NIO, epochs=21, units=31, prediction_days=45, dense_units=0.2,     ratio=[0.8106549]
ticker=NIO, epochs=12, units=40, prediction_days=6, dense_units=0.2,     ratio=[0.8277102]
ticker=RIOT, epochs=27, units=47, prediction_days=14, dense_units=0.2,     ratio=[0.7584858]
ticker=RIOT, epochs=16, units=30, prediction_days=46, dense_units=0.2,     ratio=[0.82432455]
ticker=RIOT, epochs=12, units=36, prediction_days=29, dense_units=0.2,     ratio=[0.9007877]
ticker=RIOT, epochs=10, units=26, prediction_days=67, dense_units=0.2,     ratio=[0.699408]
ticker=NIO, epochs=13, units=39, prediction_days=61, dense_units=0.2,     ratio=[0.7784696]
ticker=NIO, epochs=18, units=57, prediction_days=39, dense_units=0.2,     ratio=[0.8129578]
ticker=NIO, epochs=14, units=34, prediction_days=15, dense_units=0.2,     ratio=[0.91021484]
ticker=NIO, epochs=14, units=24, prediction_days=38, dense_units=0.2,     ratio=[0.74299383]
ticker=NIO, epochs=21, units=47, prediction_days=64, dense_units=0.2,     ratio=[0.8026328]
ticker=NIO, epochs=19, units=20, prediction_days=54, dense_units=0.2,     ratio=[0.76656616]
ticker=RIOT, epochs=17, units=31, prediction_days=24, dense_units=0.2,     ratio=[0.8998783]
ticker=NIO, epochs=16, units=23, prediction_days=36, dense_units=0.2,     ratio=[0.7707705]
ticker=NIO, epochs=19, units=23, prediction_days=44, dense_units=0.2,     ratio=[0.7868301]
ticker=NIO, epochs=22, units=36, prediction_days=33, dense_units=0.2,     ratio=[0.80724645]
ticker=RIOT, epochs=23, units=59, prediction_days=38, dense_units=0.2,     ratio=[0.7772783]
ticker=RIOT, epochs=19, units=24, prediction_days=62, dense_units=0.2,     ratio=[0.8232377]
ticker=NIO, epochs=23, units=54, prediction_days=54, dense_units=0.2,     ratio=[0.8074472]
ticker=NIO, epochs=22, units=56, prediction_days=15, dense_units=0.2,     ratio=[0.77585906]
ticker=NIO, epochs=26, units=44, prediction_days=41, dense_units=0.2,     ratio=[0.8470474]
ticker=RIOT, epochs=11, units=32, prediction_days=45, dense_units=0.2,     ratio=[0.7874205]
ticker=RIOT, epochs=12, units=37, prediction_days=53, dense_units=0.2,     ratio=[0.82398665]
ticker=RIOT, epochs=22, units=21, prediction_days=43, dense_units=0.2,     ratio=[0.80010855]
ticker=RIOT, epochs=13, units=36, prediction_days=17, dense_units=0.2,     ratio=[0.761408]
ticker=NIO, epochs=18, units=47, prediction_days=16, dense_units=0.2,     ratio=[0.8185303]
ticker=RIOT, epochs=24, units=45, prediction_days=38, dense_units=0.2,     ratio=[0.86467344]
ticker=NIO, epochs=28, units=33, prediction_days=48, dense_units=0.2,     ratio=[0.82094824]
ticker=NIO, epochs=12, units=42, prediction_days=17, dense_units=0.2,     ratio=[0.8741397]
ticker=RIOT, epochs=24, units=28, prediction_days=34, dense_units=0.2,     ratio=[0.7046375]
ticker=NIO, epochs=10, units=25, prediction_days=68, dense_units=0.2,     ratio=[0.7710013]
